Year_Location,Year,LocationAbbr,LocationDesc,Data_Value,Age,State_Tax
2010AK,2010,AK,Alaska,18.6,45 to 64 Years,2
2001AK,2001,AK,Alaska,28.8,25 to 44 Years,1
2001AK,2001,AK,Alaska,21.1,45 to 64 Years,1
2001AK,2001,AK,Alaska,36.3,18 to 24 Years,1
1998AK,1998,AK,Alaska,13.2,65 Years and Older,1
1998AK,1998,AK,Alaska,28.4,25 to 44 Years,1
1997AK,1997,AK,Alaska,15.7,65 Years and Older,1
1997AK,1997,AK,Alaska,20.6,45 to 64 Years,1
1997AK,1997,AK,Alaska,28.3,25 to 44 Years,1
1997AK,1997,AK,Alaska,39.9,18 to 24 Years,1
2006AK,2006,AK,Alaska,16.5,65 Years and Older,1.7
2006AK,2006,AK,Alaska,21.3,45 to 64 Years,1.7
2006AK,2006,AK,Alaska,25,25 to 44 Years,1.7
2006AK,2006,AK,Alaska,33.9,18 to 24 Years,1.7
2004AK,2004,AK,Alaska,29.9,25 to 44 Years,1
2004AK,2004,AK,Alaska,23.4,18 to 24 Years,1
2004AK,2004,AK,Alaska,22.8,45 to 64 Years,1
2004AK,2004,AK,Alaska,12.5,65 Years and Older,1
2008AK,2008,AK,Alaska,24.4,25 to 44 Years,2
2008AK,2008,AK,Alaska,19.4,45 to 64 Years,2
2008AK,2008,AK,Alaska,28.5,18 to 24 Years,2
2008AK,2008,AK,Alaska,9.7,65 Years and Older,2
2009AK,2009,AK,Alaska,21.1,25 to 44 Years,2
2009AK,2009,AK,Alaska,22.2,45 to 64 Years,2
2009AK,2009,AK,Alaska,23.2,18 to 24 Years,2
2009AK,2009,AK,Alaska,8.6,65 Years and Older,2
2005AK,2005,AK,Alaska,13.8,65 Years and Older,1.6
2000AK,2000,AK,Alaska,27.2,25 to 44 Years,1
2002AK,2002,AK,Alaska,15.7,65 Years and Older,1
2002AK,2002,AK,Alaska,26.2,45 to 64 Years,1
2002AK,2002,AK,Alaska,30.7,25 to 44 Years,1
2002AK,2002,AK,Alaska,41.3,18 to 24 Years,1
2000AK,2000,AK,Alaska,20.9,45 to 64 Years,1
2000AK,2000,AK,Alaska,13.4,65 Years and Older,1
1999AK,1999,AK,Alaska,38.3,18 to 24 Years,1
1999AK,1999,AK,Alaska,26.7,25 to 44 Years,1
1999AK,1999,AK,Alaska,26.3,45 to 64 Years,1
1999AK,1999,AK,Alaska,15.7,65 Years and Older,1
2000AK,2000,AK,Alaska,34.1,18 to 24 Years,1
1998AK,1998,AK,Alaska,32.3,18 to 24 Years,1
1998AK,1998,AK,Alaska,22.5,45 to 64 Years,1
1996AK,1996,AK,Alaska,11.7,65 Years and Older,0.29
1996AK,1996,AK,Alaska,27.6,18 to 24 Years,0.29
1996AK,1996,AK,Alaska,28.3,45 to 64 Years,0.29
1996AK,1996,AK,Alaska,29.6,25 to 44 Years,0.29
2001AK,2001,AK,Alaska,14.2,65 Years and Older,1
2003AK,2003,AK,Alaska,14.9,65 Years and Older,1
2003AK,2003,AK,Alaska,27.4,25 to 44 Years,1
2003AK,2003,AK,Alaska,27.4,45 to 64 Years,1
2003AK,2003,AK,Alaska,28.2,18 to 24 Years,1
2010AK,2010,AK,Alaska,10.8,65 Years and Older,2
2010AK,2010,AK,Alaska,17.2,18 to 24 Years,2
2007AK,2007,AK,Alaska,24.7,18 to 24 Years,1.9
2007AK,2007,AK,Alaska,24.2,25 to 44 Years,1.9
2007AK,2007,AK,Alaska,22,45 to 64 Years,1.9
2007AK,2007,AK,Alaska,11.5,65 Years and Older,1.9
2005AK,2005,AK,Alaska,22.2,45 to 64 Years,1.6
2005AK,2005,AK,Alaska,27.8,25 to 44 Years,1.6
2005AK,2005,AK,Alaska,32.2,18 to 24 Years,1.6
2010AK,2010,AK,Alaska,25.1,25 to 44 Years,2
1996AZ,1996,AZ,Arizona,21.7,18 to 24 Years,0.58
1996AZ,1996,AZ,Arizona,30.1,25 to 44 Years,0.58
1996AZ,1996,AZ,Arizona,9.9,65 Years and Older,0.58
1999AZ,1999,AZ,Arizona,26.3,45 to 64 Years,0.58
1999AZ,1999,AZ,Arizona,18.8,25 to 44 Years,0.58
1999AZ,1999,AZ,Arizona,18.4,18 to 24 Years,0.58
1999AZ,1999,AZ,Arizona,14.5,65 Years and Older,0.58
2004AZ,2004,AZ,Arizona,7.9,65 Years and Older,1.18
2004AZ,2004,AZ,Arizona,21.7,18 to 24 Years,1.18
2004AZ,2004,AZ,Arizona,21.6,25 to 44 Years,1.18
2004AZ,2004,AZ,Arizona,19.8,45 to 64 Years,1.18
2000AZ,2000,AZ,Arizona,6.8,65 Years and Older,0.58
2000AZ,2000,AZ,Arizona,23.5,45 to 64 Years,0.58
2000AZ,2000,AZ,Arizona,22.4,18 to 24 Years,0.58
2000AZ,2000,AZ,Arizona,19.2,25 to 44 Years,0.58
2007AZ,2007,AZ,Arizona,19.6,25 to 44 Years,2
2007AZ,2007,AZ,Arizona,10.1,65 Years and Older,2
2007AZ,2007,AZ,Arizona,36.4,18 to 24 Years,2
2007AZ,2007,AZ,Arizona,21,45 to 64 Years,2
2001AZ,2001,AZ,Arizona,21.8,45 to 64 Years,0.58
2001AZ,2001,AZ,Arizona,25.1,25 to 44 Years,0.58
2001AZ,2001,AZ,Arizona,28.2,18 to 24 Years,0.58
2001AZ,2001,AZ,Arizona,8.7,65 Years and Older,0.58
2010AZ,2010,AZ,Arizona,16.2,25 to 44 Years,2
2010AZ,2010,AZ,Arizona,15.3,45 to 64 Years,2
2006AZ,2006,AZ,Arizona,21.9,18 to 24 Years,1.385
2006AZ,2006,AZ,Arizona,20.7,45 to 64 Years,1.385
1997AZ,1997,AZ,Arizona,6.8,65 Years and Older,0.58
1997AZ,1997,AZ,Arizona,24.8,18 to 24 Years,0.58
1997AZ,1997,AZ,Arizona,24.8,45 to 64 Years,0.58
1997AZ,1997,AZ,Arizona,23.9,25 to 44 Years,0.58
2002AZ,2002,AZ,Arizona,9.7,65 Years and Older,1.18
2002AZ,2002,AZ,Arizona,29.8,18 to 24 Years,1.18
2002AZ,2002,AZ,Arizona,26.3,45 to 64 Years,1.18
2002AZ,2002,AZ,Arizona,25.4,25 to 44 Years,1.18
2006AZ,2006,AZ,Arizona,18.4,25 to 44 Years,1.385
2006AZ,2006,AZ,Arizona,10.6,65 Years and Older,1.385
1998AZ,1998,AZ,Arizona,9.1,65 Years and Older,0.58
1998AZ,1998,AZ,Arizona,28,45 to 64 Years,0.58
1998AZ,1998,AZ,Arizona,26.9,25 to 44 Years,0.58
1998AZ,1998,AZ,Arizona,10.7,18 to 24 Years,0.58
2009AZ,2009,AZ,Arizona,15,18 to 24 Years,2
2009AZ,2009,AZ,Arizona,17.5,25 to 44 Years,2
2009AZ,2009,AZ,Arizona,20.1,45 to 64 Years,2
2009AZ,2009,AZ,Arizona,7.5,65 Years and Older,2
2008AZ,2008,AZ,Arizona,7.4,65 Years and Older,2
2008AZ,2008,AZ,Arizona,20.2,45 to 64 Years,2
2008AZ,2008,AZ,Arizona,17.2,25 to 44 Years,2
2008AZ,2008,AZ,Arizona,13.4,18 to 24 Years,2
2010AZ,2010,AZ,Arizona,8.6,65 Years and Older,2
2010AZ,2010,AZ,Arizona,25.7,18 to 24 Years,2
2003AZ,2003,AZ,Arizona,9.5,65 Years and Older,1.18
2003AZ,2003,AZ,Arizona,26.1,18 to 24 Years,1.18
2003AZ,2003,AZ,Arizona,23.6,45 to 64 Years,1.18
2003AZ,2003,AZ,Arizona,22.6,25 to 44 Years,1.18
1996AZ,1996,AZ,Arizona,24.4,45 to 64 Years,0.58
2005AZ,2005,AZ,Arizona,25.5,18 to 24 Years,1.18
2005AZ,2005,AZ,Arizona,23.2,25 to 44 Years,1.18
2005AZ,2005,AZ,Arizona,20.6,45 to 64 Years,1.18
2005AZ,2005,AZ,Arizona,10.2,65 Years and Older,1.18
2001AR,2001,AR,Arkansas,26.3,45 to 64 Years,0.34
2001AR,2001,AR,Arkansas,11.1,65 Years and Older,0.34
2001AR,2001,AR,Arkansas,34.6,18 to 24 Years,0.34
2001AR,2001,AR,Arkansas,29.9,25 to 44 Years,0.34
2004AR,2004,AR,Arkansas,9.3,65 Years and Older,0.59
1998AR,1998,AR,Arkansas,12,65 Years and Older,0.315
1998AR,1998,AR,Arkansas,26.7,45 to 64 Years,0.315
1998AR,1998,AR,Arkansas,30.4,18 to 24 Years,0.315
1998AR,1998,AR,Arkansas,32,25 to 44 Years,0.315
1997AR,1997,AR,Arkansas,32.6,45 to 64 Years,0.315
1997AR,1997,AR,Arkansas,33.9,25 to 44 Years,0.315
2004AR,2004,AR,Arkansas,34.7,18 to 24 Years,0.59
2004AR,2004,AR,Arkansas,30.9,25 to 44 Years,0.59
2004AR,2004,AR,Arkansas,25.5,45 to 64 Years,0.59
2009AR,2009,AR,Arkansas,9.4,65 Years and Older,1.15
2009AR,2009,AR,Arkansas,26.4,25 to 44 Years,1.15
2009AR,2009,AR,Arkansas,25.2,18 to 24 Years,1.15
2009AR,2009,AR,Arkansas,21.8,45 to 64 Years,1.15
2007AR,2007,AR,Arkansas,25.9,45 to 64 Years,0.59
2007AR,2007,AR,Arkansas,25.2,18 to 24 Years,0.59
2007AR,2007,AR,Arkansas,24.4,25 to 44 Years,0.59
2007AR,2007,AR,Arkansas,10.7,65 Years and Older,0.59
2008AR,2008,AR,Arkansas,10.2,65 Years and Older,0.59
2000AR,2000,AR,Arkansas,25.6,45 to 64 Years,0.315
2000AR,2000,AR,Arkansas,30.6,18 to 24 Years,0.315
2000AR,2000,AR,Arkansas,31.5,25 to 44 Years,0.315
2000AR,2000,AR,Arkansas,9.8,65 Years and Older,0.315
1999AR,1999,AR,Arkansas,31.6,25 to 44 Years,0.315
1999AR,1999,AR,Arkansas,37.7,18 to 24 Years,0.315
1997AR,1997,AR,Arkansas,26.2,18 to 24 Years,0.315
1997AR,1997,AR,Arkansas,14.5,65 Years and Older,0.315
1999AR,1999,AR,Arkansas,27.4,45 to 64 Years,0.315
1999AR,1999,AR,Arkansas,13,65 Years and Older,0.315
2003AR,2003,AR,Arkansas,31.5,25 to 44 Years,0.59
2003AR,2003,AR,Arkansas,26.7,45 to 64 Years,0.59
2003AR,2003,AR,Arkansas,24.1,18 to 24 Years,0.59
2003AR,2003,AR,Arkansas,10.1,65 Years and Older,0.59
2005AR,2005,AR,Arkansas,9.9,65 Years and Older,0.59
2005AR,2005,AR,Arkansas,30.6,18 to 24 Years,0.59
2005AR,2005,AR,Arkansas,26.9,25 to 44 Years,0.59
2005AR,2005,AR,Arkansas,24.6,45 to 64 Years,0.59
1996AR,1996,AR,Arkansas,11.1,65 Years and Older,0.315
1996AR,1996,AR,Arkansas,26.9,45 to 64 Years,0.315
1996AR,1996,AR,Arkansas,28.1,18 to 24 Years,0.315
1996AR,1996,AR,Arkansas,31.2,25 to 44 Years,0.315
2002AR,2002,AR,Arkansas,11.1,65 Years and Older,0.34
2002AR,2002,AR,Arkansas,26.7,45 to 64 Years,0.34
2002AR,2002,AR,Arkansas,31.1,25 to 44 Years,0.34
2002AR,2002,AR,Arkansas,33.4,18 to 24 Years,0.34
2006AR,2006,AR,Arkansas,28.6,25 to 44 Years,0.59
2006AR,2006,AR,Arkansas,26.8,18 to 24 Years,0.59
2006AR,2006,AR,Arkansas,25.2,45 to 64 Years,0.59
2006AR,2006,AR,Arkansas,9.8,65 Years and Older,0.59
2008AR,2008,AR,Arkansas,28.2,18 to 24 Years,0.59
2008AR,2008,AR,Arkansas,26.2,25 to 44 Years,0.59
2008AR,2008,AR,Arkansas,23,45 to 64 Years,0.59
2010AR,2010,AR,Arkansas,27.7,25 to 44 Years,1.15
2010AR,2010,AR,Arkansas,23,45 to 64 Years,1.15
2010AR,2010,AR,Arkansas,10.4,65 Years and Older,1.15
2010AR,2010,AR,Arkansas,29,18 to 24 Years,1.15
2000CA,2000,CA,California,6.7,65 Years and Older,0.87
2006CA,2006,CA,California,15.2,25 to 44 Years,0.87
2001CA,2001,CA,California,8.4,65 Years and Older,0.87
2001CA,2001,CA,California,22.2,18 to 24 Years,0.87
1999CA,1999,CA,California,8.3,65 Years and Older,0.87
1999CA,1999,CA,California,24.6,18 to 24 Years,0.87
1999CA,1999,CA,California,20.5,25 to 44 Years,0.87
1999CA,1999,CA,California,19.1,45 to 64 Years,0.87
2006CA,2006,CA,California,7,65 Years and Older,0.87
2006CA,2006,CA,California,18.6,18 to 24 Years,0.87
1998CA,1998,CA,California,24.8,18 to 24 Years,0.37
1998CA,1998,CA,California,20.5,25 to 44 Years,0.37
1998CA,1998,CA,California,19.4,45 to 64 Years,0.37
1998CA,1998,CA,California,10.6,65 Years and Older,0.37
2001CA,2001,CA,California,18.8,25 to 44 Years,0.87
1997CA,1997,CA,California,21.1,45 to 64 Years,0.37
1997CA,1997,CA,California,20.7,18 to 24 Years,0.37
1997CA,1997,CA,California,18.9,25 to 44 Years,0.37
2001CA,2001,CA,California,17.4,45 to 64 Years,0.87
1997CA,1997,CA,California,10.5,65 Years and Older,0.37
1996CA,1996,CA,California,22.2,18 to 24 Years,0.37
1996CA,1996,CA,California,20.1,45 to 64 Years,0.37
1996CA,1996,CA,California,19.6,25 to 44 Years,0.37
2007CA,2007,CA,California,7.2,65 Years and Older,0.87
2007CA,2007,CA,California,16.6,25 to 44 Years,0.87
2007CA,2007,CA,California,15.4,18 to 24 Years,0.87
2007CA,2007,CA,California,14.3,45 to 64 Years,0.87
1996CA,1996,CA,California,10.3,65 Years and Older,0.37
2010CA,2010,CA,California,12.5,18 to 24 Years,0.87
2010CA,2010,CA,California,12.6,45 to 64 Years,0.87
2010CA,2010,CA,California,13.9,25 to 44 Years,0.87
2005CA,2005,CA,California,7.2,65 Years and Older,0.87
2005CA,2005,CA,California,19.7,18 to 24 Years,0.87
2005CA,2005,CA,California,16.3,25 to 44 Years,0.87
2005CA,2005,CA,California,15.5,45 to 64 Years,0.87
2009CA,2009,CA,California,13.3,18 to 24 Years,0.87
2009CA,2009,CA,California,13.5,45 to 64 Years,0.87
2009CA,2009,CA,California,14.6,25 to 44 Years,0.87
2009CA,2009,CA,California,6.9,65 Years and Older,0.87
2003CA,2003,CA,California,17.6,25 to 44 Years,0.87
2003CA,2003,CA,California,17.6,45 to 64 Years,0.87
2003CA,2003,CA,California,22.7,18 to 24 Years,0.87
2003CA,2003,CA,California,7.7,65 Years and Older,0.87
2008CA,2008,CA,California,6.5,65 Years and Older,0.87
2008CA,2008,CA,California,16.8,18 to 24 Years,0.87
2008CA,2008,CA,California,15.8,25 to 44 Years,0.87
2008CA,2008,CA,California,14.1,45 to 64 Years,0.87
2010CA,2010,CA,California,6.1,65 Years and Older,0.87
2004CA,2004,CA,California,6.3,65 Years and Older,0.87
2004CA,2004,CA,California,18.4,18 to 24 Years,0.87
2004CA,2004,CA,California,16.3,25 to 44 Years,0.87
2004CA,2004,CA,California,15.2,45 to 64 Years,0.87
2002CA,2002,CA,California,14.8,45 to 64 Years,0.87
2002CA,2002,CA,California,16.6,18 to 24 Years,0.87
2002CA,2002,CA,California,19.8,25 to 44 Years,0.87
2000CA,2000,CA,California,17,45 to 64 Years,0.87
2002CA,2002,CA,California,9.9,65 Years and Older,0.87
2006CA,2006,CA,California,16.7,45 to 64 Years,0.87
2000CA,2000,CA,California,19.3,18 to 24 Years,0.87
2000CA,2000,CA,California,20.5,25 to 44 Years,0.87
1997CO,1997,CO,Colorado,31.4,18 to 24 Years,0.2
1997CO,1997,CO,Colorado,9.8,65 Years and Older,0.2
1999CO,1999,CO,Colorado,30.7,18 to 24 Years,0.2
1999CO,1999,CO,Colorado,7.9,65 Years and Older,0.2
2000CO,2000,CO,Colorado,28.2,18 to 24 Years,0.2
2000CO,2000,CO,Colorado,5,65 Years and Older,0.2
2000CO,2000,CO,Colorado,22.7,25 to 44 Years,0.2
2000CO,2000,CO,Colorado,20.4,45 to 64 Years,0.2
2001CO,2001,CO,Colorado,10.2,65 Years and Older,0.2
2001CO,2001,CO,Colorado,19.2,45 to 64 Years,0.2
2001CO,2001,CO,Colorado,24.9,25 to 44 Years,0.2
2001CO,2001,CO,Colorado,37.3,18 to 24 Years,0.2
2002CO,2002,CO,Colorado,19.4,45 to 64 Years,0.2
2002CO,2002,CO,Colorado,22.7,25 to 44 Years,0.2
2002CO,2002,CO,Colorado,26.1,18 to 24 Years,0.2
2002CO,2002,CO,Colorado,9.1,65 Years and Older,0.2
2009CO,2009,CO,Colorado,16.1,45 to 64 Years,0.84
2009CO,2009,CO,Colorado,7,65 Years and Older,0.84
2009CO,2009,CO,Colorado,27.9,18 to 24 Years,0.84
2009CO,2009,CO,Colorado,18.3,25 to 44 Years,0.84
1998CO,1998,CO,Colorado,11.7,65 Years and Older,0.2
1998CO,1998,CO,Colorado,21.2,45 to 64 Years,0.2
1998CO,1998,CO,Colorado,25.8,25 to 44 Years,0.2
1998CO,1998,CO,Colorado,30.1,18 to 24 Years,0.2
2003CO,2003,CO,Colorado,8.6,65 Years and Older,0.2
2003CO,2003,CO,Colorado,22.5,18 to 24 Years,0.2
2003CO,2003,CO,Colorado,22,25 to 44 Years,0.2
2003CO,2003,CO,Colorado,16.7,45 to 64 Years,0.2
2010CO,2010,CO,Colorado,8.2,65 Years and Older,0.84
2010CO,2010,CO,Colorado,19.5,25 to 44 Years,0.84
2010CO,2010,CO,Colorado,15.8,18 to 24 Years,0.84
2010CO,2010,CO,Colorado,15.5,45 to 64 Years,0.84
2004CO,2004,CO,Colorado,17.7,45 to 64 Years,0.2
2004CO,2004,CO,Colorado,22.3,25 to 44 Years,0.2
2004CO,2004,CO,Colorado,29.1,18 to 24 Years,0.2
2004CO,2004,CO,Colorado,9.7,65 Years and Older,0.2
2005CO,2005,CO,Colorado,7.9,65 Years and Older,0.84
2005CO,2005,CO,Colorado,26,18 to 24 Years,0.84
2005CO,2005,CO,Colorado,22.5,25 to 44 Years,0.84
2005CO,2005,CO,Colorado,18.9,45 to 64 Years,0.84
2006CO,2006,CO,Colorado,16.9,45 to 64 Years,0.84
2006CO,2006,CO,Colorado,19.5,25 to 44 Years,0.84
2006CO,2006,CO,Colorado,26.2,18 to 24 Years,0.84
2006CO,2006,CO,Colorado,7,65 Years and Older,0.84
2008CO,2008,CO,Colorado,9.5,65 Years and Older,0.84
2008CO,2008,CO,Colorado,22.3,18 to 24 Years,0.84
2008CO,2008,CO,Colorado,20.3,25 to 44 Years,0.84
2008CO,2008,CO,Colorado,16.1,45 to 64 Years,0.84
1999CO,1999,CO,Colorado,21.8,45 to 64 Years,0.2
1999CO,1999,CO,Colorado,25.7,25 to 44 Years,0.2
1996CO,1996,CO,Colorado,23.8,25 to 44 Years,0.2
1996CO,1996,CO,Colorado,22.4,45 to 64 Years,0.2
1996CO,1996,CO,Colorado,9.9,65 Years and Older,0.2
1996CO,1996,CO,Colorado,36.2,18 to 24 Years,0.2
2007CO,2007,CO,Colorado,20.2,25 to 44 Years,0.84
2007CO,2007,CO,Colorado,27.5,18 to 24 Years,0.84
2007CO,2007,CO,Colorado,9,65 Years and Older,0.84
2007CO,2007,CO,Colorado,17.3,45 to 64 Years,0.84
1997CO,1997,CO,Colorado,21.5,45 to 64 Years,0.2
1997CO,1997,CO,Colorado,25.1,25 to 44 Years,0.2
1997CT,1997,CT,Connecticut,33.7,18 to 24 Years,0.5
1997CT,1997,CT,Connecticut,18.2,45 to 64 Years,0.5
1997CT,1997,CT,Connecticut,12.5,65 Years and Older,0.5
2001CT,2001,CT,Connecticut,12.4,65 Years and Older,0.5
2001CT,2001,CT,Connecticut,20.8,45 to 64 Years,0.5
2001CT,2001,CT,Connecticut,22.3,25 to 44 Years,0.5
2001CT,2001,CT,Connecticut,28.8,18 to 24 Years,0.5
1998CT,1998,CT,Connecticut,8.4,65 Years and Older,0.5
1998CT,1998,CT,Connecticut,25.1,25 to 44 Years,0.5
1998CT,1998,CT,Connecticut,17.8,45 to 64 Years,0.5
1998CT,1998,CT,Connecticut,36.6,18 to 24 Years,0.5
2000CT,2000,CT,Connecticut,9.5,65 Years and Older,0.5
2000CT,2000,CT,Connecticut,33.4,18 to 24 Years,0.5
2000CT,2000,CT,Connecticut,22.6,25 to 44 Years,0.5
2000CT,2000,CT,Connecticut,17.8,45 to 64 Years,0.5
2009CT,2009,CT,Connecticut,6.1,65 Years and Older,2.25
2009CT,2009,CT,Connecticut,24,18 to 24 Years,2.25
2009CT,2009,CT,Connecticut,18.3,25 to 44 Years,2.25
2009CT,2009,CT,Connecticut,15.1,45 to 64 Years,2.25
2004CT,2004,CT,Connecticut,17.8,45 to 64 Years,1.51
2004CT,2004,CT,Connecticut,20.1,25 to 44 Years,1.51
2004CT,2004,CT,Connecticut,31.2,18 to 24 Years,1.51
2004CT,2004,CT,Connecticut,6.7,65 Years and Older,1.51
2005CT,2005,CT,Connecticut,6.6,65 Years and Older,1.51
2005CT,2005,CT,Connecticut,20,25 to 44 Years,1.51
2005CT,2005,CT,Connecticut,18,18 to 24 Years,1.51
2005CT,2005,CT,Connecticut,17.5,45 to 64 Years,1.51
2008CT,2008,CT,Connecticut,21.2,25 to 44 Years,2
2008CT,2008,CT,Connecticut,20.6,18 to 24 Years,2
2008CT,2008,CT,Connecticut,14.3,45 to 64 Years,2
2008CT,2008,CT,Connecticut,6.1,65 Years and Older,2
2003CT,2003,CT,Connecticut,7.1,65 Years and Older,1.51
2003CT,2003,CT,Connecticut,32.4,18 to 24 Years,1.51
2003CT,2003,CT,Connecticut,21.8,25 to 44 Years,1.51
2003CT,2003,CT,Connecticut,17.6,45 to 64 Years,1.51
2010CT,2010,CT,Connecticut,13,45 to 64 Years,3
2010CT,2010,CT,Connecticut,15.6,25 to 44 Years,3
2010CT,2010,CT,Connecticut,20.4,18 to 24 Years,3
2010CT,2010,CT,Connecticut,5,65 Years and Older,3
2002CT,2002,CT,Connecticut,18.8,45 to 64 Years,1.11
2002CT,2002,CT,Connecticut,22.1,25 to 44 Years,1.11
2002CT,2002,CT,Connecticut,29,18 to 24 Years,1.11
2002CT,2002,CT,Connecticut,9.4,65 Years and Older,1.11
2006CT,2006,CT,Connecticut,7.4,65 Years and Older,1.51
2006CT,2006,CT,Connecticut,25.1,18 to 24 Years,1.51
2006CT,2006,CT,Connecticut,19.5,25 to 44 Years,1.51
2006CT,2006,CT,Connecticut,16.9,45 to 64 Years,1.51
1996CT,1996,CT,Connecticut,8.5,65 Years and Older,0.5
1996CT,1996,CT,Connecticut,27.1,18 to 24 Years,0.5
1996CT,1996,CT,Connecticut,26.8,25 to 44 Years,0.5
1996CT,1996,CT,Connecticut,21.4,45 to 64 Years,0.5
1999CT,1999,CT,Connecticut,32.7,18 to 24 Years,0.5
1997CT,1997,CT,Connecticut,25.2,25 to 44 Years,0.5
1999CT,1999,CT,Connecticut,27.6,25 to 44 Years,0.5
1999CT,1999,CT,Connecticut,18.8,45 to 64 Years,0.5
1999CT,1999,CT,Connecticut,13,65 Years and Older,0.5
2007CT,2007,CT,Connecticut,6.5,65 Years and Older,1.755
2007CT,2007,CT,Connecticut,22.7,18 to 24 Years,1.755
2007CT,2007,CT,Connecticut,17.1,25 to 44 Years,1.755
2007CT,2007,CT,Connecticut,16.4,45 to 64 Years,1.755
1996DE,1996,DE,Delaware,13,65 Years and Older,0.24
1996DE,1996,DE,Delaware,24.5,45 to 64 Years,0.24
1996DE,1996,DE,Delaware,28.4,25 to 44 Years,0.24
2002DE,2002,DE,Delaware,9.8,65 Years and Older,0.24
2002DE,2002,DE,Delaware,36,18 to 24 Years,0.24
1997DE,1997,DE,Delaware,10.3,65 Years and Older,0.24
1997DE,1997,DE,Delaware,25.9,45 to 64 Years,0.24
1997DE,1997,DE,Delaware,31.5,25 to 44 Years,0.24
1997DE,1997,DE,Delaware,34.5,18 to 24 Years,0.24
